,author,name,pid
269,Adrian Francalanza,Adrian Francalanza,91/2771
270,Adrian Friday,Adrian Friday,10/6055
271,Adrian G. Bors,Adrian G. Bors,94/1481
272,Adrian Hilton,Adrian Hilton,63/34
273,Adrian Ivor Clive Johnstone,Adrian Johnstone,18/6775
274,Adrian Johnstone,Adrian Johnstone,18/6775
275,Adrian P. Lauf,Adrian P. Lauf,15/4728
276,Adrian Paschke,Adrian Paschke,24/2942
277,Adrian Perrig,Adrian Perrig,16/6873
278,Adrian R. Pearce,Adrian R. Pearce,53/1321
279,Adrian R. Vetta,Adrian Vetta,v/AdrianVetta
280,Adrian S. Poulton,Adrian S. Poulton,47/10126
281,Adrian Sampson,Adrian Sampson,25/4161
282,Adrian Sandu,Adrian Sandu,89/2975
283,Adrian Segall,Adrian Segall,13/3683
284,Adrian Vetta,Adrian Vetta,v/AdrianVetta
285,Adriana B. Compagnoni,Adriana B. Compagnoni,c/AdrianaBCompagnoni
286,Adriana Emitzá Guzmán Ortega,Emitza Guzman,77/10481
287,Adriana Ferraro,Adriana Ferraro,14/2527
288,Adriana Iamnitchi,Adriana Iamnitchi,33/5916
289,Adriana Kovashka,Adriana Kovashka,51/8652
290,Adriana Schulz,Adriana Schulz,69/8106
291,Adriane Chapman,Adriane Chapman,54/4551
292,Adriane P. Chapman,Adriane Chapman,54/4551
293,Adriano Alonso Veloso,Adriano Veloso,12/919
294,Adriano C. M. Pereira,Adriano C. M. Pereira,73/6430
295,Adriano César Machado Pereira,Adriano C. M. Pereira,73/6430
296,Adriano Fazzone,Adriano Fazzone,163/0451
297,Adriano Velasque Werhli,Adriano Velasque Werhli,96/4639
298,Adriano Veloso,Adriano Veloso,12/919
299,Adrien Basso-Blandin,Adrien Basso-Blandin,116/2741
300,Adrien Poteaux,Adrien Poteaux,19/1595
301,Adrienne Decker,Adrienne Decker,84/3724
302,Adrián Carballal,Adrián Carballal,87/9528
303,Adrián Jarabo,Adrián Jarabo,118/2761
304,Aduri Pavan,Aduri Pavan,88/1807
305,Adwait Jog,Adwait Jog,64/11467
306,Adwait Nadkarni,Adwait Nadkarni,136/8334
307,Afra Alishahi,Afra Alishahi,69/8699
308,Afzel Noore,Afzel Noore,41/6759
309,Agata Ciabattoni,Agata Ciabattoni,44/6796
310,Agathoniki Trigoni,Agathoniki Trigoni,t/NikiTrigoni
311,Aggeliki Arapoyanni,Angela Arapoyanni,a/AngelaArapoyanni
312,Aggelos K. Katsaggelos,Aggelos K. Katsaggelos,k/AggelosKAggelos
313,Aggelos Kiayias,Aggelos Kiayias,47/3682
314,Aggelos Pikrakis,Aggelos Pikrakis,07/1737
315,Agma J. M. Traina,Agma J. M. Traina,t/AgmaJMTraina
316,Agma Juci Machado Traina,Agma J. M. Traina,t/AgmaJMTraina
317,Agnar Aamodt,Agnar Aamodt,a/AgnarAamodt
318,Agnes Koschmider,Agnes Koschmider,k/AgnesKoschmider
319,Agneta Nilsson,Agneta Nilsson,18/4800
320,Agnieszka Mykowiecka 0001,Agnieszka Mykowiecka 0001,60/3283-1
321,Agnès Voisard,Agnès Voisard,v/AVoisard
322,Agustin Fernández,,
323,Agustín Gravano,Agustín Gravano,89/6770
324,Ah-Hwee Tan,Ah-Hwee Tan,38/3641
325,Ahad N. Zehmakan,Ahad N. Zehmakan,167/4131
326,Aharon Bar-Hillel,Aharon Bar-Hillel,72/1301
327,Ahmad Akbari,Ahmad Akbari,36/9367
328,Ahmad Akbari Azirani,A. Akbariazirani,36/9367
329,Ahmad Alzahrani,Ahmad Alzahrani,128/1123
330,Ahmad Biniaz,Ahmad Biniaz,41/8409
331,Ahmad Elkhateb,Ahmad Elkhateb,255/3783
332,Ahmad Hemmati,Ahmad Hemmati,53/9410
333,Ahmad Jbara,Ahmad Jbara,63/5514
334,Ahmad R. Dhaini,Ahmad R. Dhaini,45/3525
335,Ahmad Sharieh,Ahmad Sharieh,38/3301
336,Ahmad-Reza Sadeghi,Ahmad-Reza Sadeghi,s/AhmadRezaSadeghi
337,Ahmed Abdelali,Ahmed Abdelali,48/5636
338,Ahmed Abu-Hajar,Ahmed Abu-Hajar,30/11457
339,Ahmed Aleroud,Ahmed Aleroud,85/9730
340,Ahmed Ali,Ahmed Ali,22/1217
341,Ahmed Ali-Eldin,Ahmed Ali-Eldin,24/8772
342,Ahmed Awad,Ahmed Awad,10/6854
343,Ahmed Desoky,Ahmed Desoky,22/5589
344,Ahmed E. Hassan,Ahmed E. Hassan,h/AhmedEHassan
345,Ahmed El-Roby,Ahmed El-Roby,135/4659
346,Ahmed Eldawy,Ahmed Eldawy,66/9726
347,Ahmed Elgammal,Ahmed M. Elgammal,e/AhmedMElgammal
348,Ahmed Helmy,Ahmed Helmy,h/AhmedHelmy
349,Ahmed Hussain Qureshi,Ahmed Hussain Qureshi,222/2796
350,Ahmed K. Elmagarmid,Ahmed K. Elmagarmid,e/AKElmagarmid
351,Ahmed Karmouch,Ahmed Karmouch,34/4894
352,Ahmed M. Elgammal,Ahmed M. Elgammal,e/AhmedMElgammal
353,Ahmed Rafea,Ahmed Rafea,33/2241
354,Ahmed Sabbir Arif,Ahmed Sabbir Arif,77/2371
355,Ahmed Saeed 0001,Ahmed Saeed 0001,23/100
356,Ahmed Sameh,Ahmed Sameh,s/AhmedSameh
357,Ahmed Sameh Mohamed,Ahmed Sameh,s/AhmedSameh
358,Ahmed Sameh Mohammed,Ahmed Sameh,s/AhmedSameh
359,Ahmet Burak Can,Ahmet Burak Can,55/8615
360,Ahmet Celal Cem Say,A. C. Cem Say,11/4210
361,Ahmet Cüneyd Tantug,A. Cüneyd Tantug,42/3214
362,Ahmet Erdem Sariyüce,Ahmet Erdem Sariyüce,74/10954
363,Ahmet Murat Özbayoglu,A. Murat Ozbayoglu,137/6822
364,Ahmet Oguz Akyüz,Ahmet Oguz Akyüz,64/3812
365,Ahmet Teoman Naskali,Ahmet Teoman Naskali,65/7403
366,Ahti Peder,Ahti Peder,86/8994
367,Ai-Chun Pang,Ai-Chun Pang,73/2927
368,Aibek Musaev,Aibek Musaev,155/5041
369,Aibek Musave,Aibek Musaev,155/5041
370,Aidan Hogan,Aidan Hogan,h/AidanHogan
371,Aidong Lu,Aidong Lu,33/5455
372,Aidong Zhang,Aidong Zhang,z/AidongZhang
373,Aiiad Ahmad Albeshri,Aiiad Albeshri,44/8558
374,Aiiad Albeshri,Aiiad Albeshri,44/8558
375,Aiichiro Nakano,Aiichiro Nakano,74/1140
376,Aijun An,Aijun An,99/3459
377,Aikaterini Bourazeri,Aikaterini Bourazeri,128/5372
378,Aikaterini Mitrokotsa,Aikaterini Mitrokotsa,22/417
379,Ailamaki Natassa,Anastasia Ailamaki,a/AnastassiaAilamaki
380,Aiman Erbad,Aiman Erbad,41/1019
381,Aiman Hanna,Aiman Hanna,h/AimanHanna
382,Aimin Hao,Aimin Hao,94/5679
383,Aishwarya Agrawal,Aishwarya Agrawal,163/2109
384,Aisling Ann O'Kane,Aisling Ann O'Kane,21/9599
385,Aisling Kelliher,Aisling Kelliher,28/184
386,Aiswarya Cyriac,C. Aiswarya,90/6616
387,Aivar Annamaa,Aivar Annamaa,99/8736
388,Aixia Jia,Aixia Jia,43/7062
389,Aixin Sun,Aixin Sun,78/5155
390,Ajai Jain,Ajai Jain,59/4016
391,Ajay D. Kshemkalyani,Ajay D. Kshemkalyani,96/6394
392,Ajay Gupta 0001,Ajay Gupta 0001,g/AjayKGupta
393,Ajay K. Gupta 0001,Ajay Gupta 0001,g/AjayKGupta
394,Ajay Kapur,Ajay Kapur,43/6846
395,Ajay Kumar 0001,Ajay Kumar 0001,85/4670-1
396,Ajit A. Diwan,Ajit A. Diwan,22/6375
397,Ajit Arvind Diwan,Ajit A. Diwan,22/6375
398,Ajit Rajwade 0001,Ajit Rajwade 0001,26/5984-1
399,Ajit V. Rajwade 0001,Ajit Rajwade 0001,26/5984-1
400,Ajita Rattani,Ajita Rattani,42/3832
401,Ajitha Rajan,Ajitha Rajan,33/3526
402,Ajmal Mian,Ajmal Mian,63/807
403,Ajmal S. Mian,Ajmal Mian,63/807
404,Ajmal Saeed Mian,Ajmal Mian,63/807
405,Ajoy K. Datta,Ajoy K. Datta,d/AjoyKumarDatta
406,Ajoy Kumar Datta,Ajoy K. Datta,d/AjoyKumarDatta
407,Akane Sano,Akane Sano,129/5095
408,Akash Kumar 0001,Akash Kumar 0001,29/414
409,Aki Vehtari,Aki Vehtari,57/5480
410,Akihiko Konagaya,Akihiko Konagaya,48/1008
411,Akihiko Takano,Akihiko Takano,47/4253
412,Akihiro Sato,Akihiro Sato,41/3834
413,Akihiro Yamamoto,Akihiro Yamamoto,24/5960
414,Akihisa Ohya,Akihisa Ohya,45/6798
415,Akiko Aizawa,Akiko Aizawa,63/1600
416,Akiko N. Aizawa,Akiko Aizawa,63/1600
417,Akiko Nakahara,Akiko Aizawa,63/1600
418,Akira Imakura,Akira Imakura,143/6633
419,Akira Kawaguchi,Akira Kawaguchi,92/5851
420,Akira Nukada,Akira Nukada,74/1996
421,Akiya Kamimura,Akiya Kamimura,51/4624
422,Akramul Azim,Akramul Azim,02/8669
423,Akshat Kumar,Akshat Kumar,73/193
424,Al Biles,Alireza Bilesan,245/5854
425,Al Davis,Al Davis,d/AlDavis
426,Al Hero,Al Hero,h/AlfredOHeroIII
427,Ala Al-Fuqaha Senior,Ala I. Al-Fuqaha,22/2131
428,Ala I. Al-Fuqaha,Ala I. Al-Fuqaha,22/2131
429,Alaa R. Alameldeen,Alaa R. Alameldeen,77/5087
430,Alain Darte,Alain Darte,d/AlainDarte
431,Alain Finkel,Alain Finkel,f/AlainFinkel
432,Alain J. Martin,Alain J. Martin,82/3175
433,Alain Tapp,Alain Tapp,79/3279
434,Alain Trémeau,Alain Trémeau,39/1067
435,Alain Wegmann,Alain Wegmann,w/AWegmann
436,Alan Akbik,Alan Akbik,127/0198
437,Alan Blackwell,Alan Blackwell,322/9658
438,Alan Blair,Alan Blair,79/3180
439,Alan Blair 0001,Alan Blair 0001,65/2157
440,Alan Borning,Alan Borning,b/AlanBorning
441,Alan Bundy,Alan Bundy,b/AlanBundy
442,Alan Burns 0001,Alan Burns 0001,b/AlanBurns
443,Alan C. H. Ling,Alan C. H. Ling,44/6305
444,Alan C. Lin,Alan C. Lin,81/4600
445,Alan C. Wright,Alan C. Wright,134/8085
446,Alan Chi Hung Ling,Alan C. H. Ling,44/6305
447,Alan Christopher Williams,Alan Christopher Williams,49/4662
448,Alan Cline,Alan Cline,98/36
449,Alan D. Blair,Alan Blair 0001,65/2157
450,Alan D. Fekete,Alan D. Fekete,f/AlanDavidFekete
451,Alan David Fekete,Alan D. Fekete,f/AlanDavidFekete
452,Alan Dearle,Alan Dearle,d/AlanDearle
453,Alan Dorin,Alan Dorin,50/6067
454,Alan Edwin Serrano-Rico,Alan Serrano,41/1512
455,Alan F. Blackwell,Alan F. Blackwell,54/582
456,Alan Fern,Alan Fern,49/6764
457,Alan H. Barr,Alan H. Barr,51/687
458,Alan Hanjalic,Alan Hanjalic,88/3884
459,Alan Hayes,Alan Hayes,51/1512
460,Alan J. Hu,Alan J. Hu,01/2712
461,Alan K. Mackworth,Alan K. Mackworth,m/AlanKMackworth
462,Alan Kaminsky,Alan Kaminsky,47/1634
463,Alan Kuhnle,Alan Kuhnle,153/2879
464,Alan Kuntz,Alan Kuntz,164/8569
465,Alan L. Cox,Alan L. Cox,c/AlanLCox
466,Alan L. Davis,Al Davis,d/AlDavis
467,Alan L. Yuille,Alan L. Yuille,y/AlanLYuille
468,Alan Loddon Yuille,Alan L. Yuille,y/AlanLYuille
469,Alan M. Durham,Alan M. Durham,37/3996
470,Alan M. Frieze,Alan M. Frieze,f/AlanMFrieze
471,Alan M. Moses,Alan M. Moses,46/6947
